Categoría,Correo,Asunto,Message
ham,sofia70@uni.edu,"Go until jurong point, crazy.....","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
ham,carlos22@hotmail.com,Ok lar... Joking wif u...,Ok lar... Joking wif u oni...
spam,paypal_support@pago-pendient.biz,Exclusive Free Offer! (ID: 1),Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
ham,secretaria29@gmail.com,U dun say so early...,U dun say so early hor... U c already then say...
ham,sofia75@hotmail.com,Nah I don't think he...,"Nah I don't think he goes to usf, he lives around here though"
ham,sofia36@trabajo.com,Even my brother is not...,Even my brother is not like to speak with me. They treat me like aids patent.
ham,carlos54@uni.edu,As per your request 'Melle...,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,ganador_loto_1@felicidades.info,Congratulations! You Have Won a Prize (ID: 2),WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.
spam,paypal_support_1@pago-pendient.biz,Exclusive Free Offer! (ID: 3),Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
ham,sofia66@uni.edu,I'm gonna be home soon...,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today."
spam,servicio_seguridad@alerta-oficial.net,Important Notification: Review Your Offer (ID: 4),"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info"
spam,paypal_support_2@pago-pendient.biz,Congratulations! You Have Won a Prize (ID: 5),"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
